Date,^DJI,^GSPC,^IXIC,^RUT,Wasserstein_distances,Permutation_Entropy,Hawkes_Process
1997-01-02,6442.490234375,737.010009765625,1280.699951171875,358.9599914550781,0.0,0.0,0.0
1997-01-03,6544.08984375,748.030029296875,1310.6800537109375,361.8500061035156,0.0,0.0,0.0
1997-01-06,6567.18017578125,747.6500244140625,1316.4000244140625,362.30999755859375,0.0,0.0,0.0
1997-01-07,6600.66015625,753.22998046875,1327.72998046875,364.1600036621094,0.0,0.0,0.0
1997-01-08,6549.47998046875,748.4099731445312,1320.3499755859375,364.1700134277344,0.0,0.0,0.0
1997-01-09,6625.669921875,754.8499755859375,1326.199951171875,365.5899963378906,0.0,0.0,0.0
1997-01-10,6703.7900390625,759.5,1332.02001953125,366.0899963378906,0.0,0.0,0.0
1997-01-13,6709.18017578125,759.510009765625,1330.9100341796875,365.8500061035156,0.0,0.0,0.0
1997-01-14,6762.2900390625,768.8599853515625,1346.3599853515625,367.5199890136719,0.0,0.0,0.0
1997-01-15,6726.8798828125,767.2000122070312,1333.530029296875,367.19000244140625,0.0,0.0,0.0
1997-01-16,6765.3701171875,769.75,1340.4599609375,366.9200134277344,0.0,0.0,0.0
1997-01-17,6833.10009765625,776.1699829101562,1349.050048828125,367.8800048828125,0.0,0.0,0.0
1997-01-20,6843.8701171875,776.7000122070312,1364.280029296875,369.3500061035156,0.0,0.0,0.0
1997-01-21,6883.89990234375,782.719970703125,1376.969970703125,370.32000732421875,0.0,0.0,0.0
1997-01-22,6850.02978515625,786.22998046875,1388.06005859375,370.6499938964844,0.0,0.0,0.0
1997-01-23,6755.75,777.5599975585938,1378.3699951171875,370.4599914550781,0.0,0.0,0.0
1997-01-24,6696.47998046875,770.52001953125,1363.8299560546875,368.1400146484375,0.0,0.0,0.0
1997-01-27,6660.68994140625,765.02001953125,1352.81005859375,365.5199890136719,0.0,0.0,0.0
1997-01-28,6656.080078125,765.02001953125,1354.3699951171875,366.4700012207031,0.0,0.0,0.0
1997-01-29,6740.740234375,772.5,1355.1700439453125,366.25,0.0,0.0,0.0
1997-01-30,6823.85986328125,784.1699829101562,1371.02001953125,368.2900085449219,0.0,0.0,0.0
1997-01-31,6813.08984375,786.1599731445312,1379.8499755859375,369.45001220703125,0.0,0.0,0.0
1997-02-03,6806.16015625,786.72998046875,1376.050048828125,369.5299987792969,0.0,0.0,0.0
1997-02-04,6833.47998046875,789.260009765625,1373.75,368.32000732421875,0.0,0.0,0.0
1997-02-05,6746.89990234375,778.280029296875,1348.43994140625,365.489990234375,0.0,0.0,0.0
1997-02-06,6773.06005859375,780.1500244140625,1346.4000244140625,365.4800109863281,0.0,0.0,0.0
1997-02-07,6855.7998046875,789.5599975585938,1357.7099609375,366.75,0.0,0.0,0.0
1997-02-10,6806.5400390625,785.4299926757812,1335.3399658203125,364.1499938964844,0.0,0.0,0.0
1997-02-11,6858.10986328125,789.5900268554688,1331.510009765625,362.75,0.0,0.0,0.0
1997-02-12,6961.6298828125,802.77001953125,1358.9599609375,365.3999938964844,0.0,0.0,0.0
1997-02-13,7022.43994140625,811.8200073242188,1370.81005859375,368.17999267578125,0.0,0.0,0.0
1997-02-14,6988.9599609375,808.47998046875,1367.18994140625,369.1300048828125,0.0,0.0,0.0
1997-02-18,7067.4599609375,816.2899780273438,1365.7900390625,370.04998779296875,0.0,0.0,0.0
1997-02-19,7020.1298828125,812.489990234375,1365.5799560546875,370.1700134277344,0.0,0.0,0.0
1997-02-20,6927.3798828125,802.7999877929688,1347.4000244140625,367.55999755859375,0.0,0.0,0.0
1997-02-21,6931.6201171875,801.77001953125,1334.3199462890625,366.3699951171875,0.0,0.0,0.0
1997-02-24,7008.2001953125,810.280029296875,1345.0799560546875,366.45001220703125,0.0,0.0,0.0
1997-02-25,7037.830078125,812.030029296875,1347.68994140625,366.7900085449219,0.0,0.0,0.0
1997-02-26,6983.18017578125,805.6799926757812,1340.550048828125,363.8500061035156,0.0,0.0,0.0
1997-02-27,6925.06982421875,795.0700073242188,1312.6600341796875,361.1499938964844,0.009710373356938362,0.3241832263822533,-0.0022223625673360547
1997-02-28,6877.740234375,790.8200073242188,1309.0,360.04998779296875,0.02452798467129469,0.32404847567880374,-0.0018161005557957106
1997-03-03,6918.919921875,795.3099975585938,1311.1800537109375,360.489990234375,0.023573069600388408,0.3241435008806413,0.0021065675947775147
1997-03-04,6852.72021484375,790.9500122070312,1317.3699951171875,361.9100036621094,0.026026318781077862,0.3241150908067651,0.00014291317151158363
1997-03-05,6945.85009765625,801.989990234375,1329.0899658203125,363.92999267578125,0.022648264653980732,0.32431254214579924,0.0014820991889847568
1997-03-06,6944.7001953125,798.5599975585938,1315.4300537109375,363.79998779296875,0.023499468807131052,0.324096892009696,0.003752520606740104
1997-03-07,7000.89013671875,804.969970703125,1311.800048828125,365.4599914550781,0.013792482670396566,0.32414571867815956,0.0021644414164871074
1997-03-10,7079.39013671875,813.6500244140625,1322.719970703125,367.0899963378906,0.012864513555541635,0.3241350949316771,-0.0014208969834109762
1997-03-11,7085.16015625,811.3400268554688,1316.760009765625,367.8699951171875,0.013493034290149808,0.3241886314647908,-0.005875043677132213
1997-03-12,7039.3701171875,804.260009765625,1304.1300048828125,364.3999938964844,0.011278353398665786,0.324141343941326,-0.0027673437044925795
1997-03-13,6878.89013671875,789.5599975585938,1293.280029296875,360.05999755859375,0.01172885182313621,0.3244932600806687,-0.003281437863447383
1997-03-14,6935.4599609375,793.1699829101562,1292.969970703125,361.0400085449219,0.013052714755758643,0.32519968310843994,-0.004727736293373005
1997-03-17,6955.47998046875,795.7100219726562,1279.4300537109375,357.3699951171875,0.01466798223555088,0.3250962494808023,-0.005963695747582473
1997-03-18,6896.56005859375,789.6599731445312,1269.3399658203125,354.92999267578125,0.01997133856639266,0.3246131608779108,-0.004073396171578852
1997-03-19,6877.68017578125,785.77001953125,1249.2900390625,351.7900085449219,0.02657808642834425,0.3246927280119615,-0.003258977084096928
1997-03-20,6820.27978515625,782.6500244140625,1259.260009765625,352.30999755859375,0.036939913872629404,0.32568662609348115,-0.0018787039827578486
